blm_category,missing_id
biolink:DiseaseOrPhenotypicFeature,UMLS:C4050568
biolink:DiseaseOrPhenotypicFeature,UMLS:C5233139
biolink:DiseaseOrPhenotypicFeature,UMLS:C5209285
biolink:DiseaseOrPhenotypicFeature,UMLS:C5204757
biolink:DiseaseOrPhenotypicFeature,UMLS:C5236987
biolink:DiseaseOrPhenotypicFeature,UMLS:C5233276
biolink:DiseaseOrPhenotypicFeature,UMLS:C5232587
biolink:DiseaseOrPhenotypicFeature,UMLS:C5237386
biolink:DiseaseOrPhenotypicFeature,UMLS:C5396925
biolink:DiseaseOrPhenotypicFeature,UMLS:C5203310
biolink:DiseaseOrPhenotypicFeature,UMLS:C4049706
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394401
biolink:DiseaseOrPhenotypicFeature,UMLS:C5237174
biolink:DiseaseOrPhenotypicFeature,UMLS:C5204285
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394417
biolink:DiseaseOrPhenotypicFeature,UMLS:C4699476
biolink:DiseaseOrPhenotypicFeature,UMLS:C4321397
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394700
biolink:DiseaseOrPhenotypicFeature,UMLS:C5232395
biolink:DiseaseOrPhenotypicFeature,UMLS:C5393937
biolink:DiseaseOrPhenotypicFeature,UMLS:C4042908
biolink:DiseaseOrPhenotypicFeature,UMLS:C5237746
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394422
